banda,importancia_RF,importancia_GP
B2,0.04961683231358253,0.02375497343970923
B3,0.04423464623992261,0.05768346105841303
B4,0.058561304590630796,0.021033040801730296
B5,0.05875649913099616,0.04602372271346227
B6,0.0463416255894336,0.046752587829802995
B7,0.060666134653476436,0.0018947760199207494
B8,0.07001606192351532,0.12004752904121314
B8A,0.06429507754431436,0.2264796899333222
B11,0.1437449543670528,0.13386558418785802
B12,0.1225756141376602,0.04314626021983322
NDVI,0.07733079628742441,0.1527079293865759
NDWI,0.07924583551642882,0.021504496341743545
EVI,0.037022271560007924,0.04958772752798922
BSI,0.08759234614555401,0.05551822149842616
VV,0.0,0.0
VH,0.0,0.0
VH_VV_ratio,0.0,0.0
VV_VH_diff,0.0,0.0
