año,clase,nombre,area_total_km2,area_AoA_dentro_km2,area_AoA_fuera_km2,pct_extrapolacion
2021,0,no-manglar,4835.51,1966.58,2846.94,58.9
2021,1,degradado,1272.29,161.25,1110.49,87.3
2021,2,regular,0.0,0.0,0.0,0.0
2021,3,intacto,301.46,219.95,81.44,27.0
2022,0,no-manglar,4686.28,1960.98,2703.27,57.7
2022,1,degradado,1453.92,166.13,1287.26,88.5
2022,2,regular,0.0,0.0,0.0,0.0
2022,3,intacto,269.06,220.67,48.32,18.0
2023,0,no-manglar,3996.4,1910.09,2064.6,51.7
2023,1,degradado,2130.01,283.47,1845.7,86.7
2023,2,regular,0.0,0.0,0.0,0.0
2023,3,intacto,282.85,154.22,128.55,45.4
